No,;Time;;Time 1;Time 2;Delay ;;Delay 1;Delay 2;Jitter
260;1,591270;;1,591270;1,606117;0,014847;;0,007539;0,007308;-0,000231
261;1,606117;;1,606117;1,613425;0,007308;;0,007308;0;-0,007308
262;1,613425;;1,613425;1,613425;0;;-0,000458;0,000458;0,000916
263;1,613425;;1,613425;1,613883;0,000458;;-0,007186;0,007644;0,01483
264;1,613883;;1,613883;1,621527;0,007644;;-0,017113;0,024757;0,04187
265;1,621527;;1,621527;1,646284;0,024757;;0,024757;0;-0,024757
266;1,646284;;1,646284;1,646284;0;;0;0;0
267;1,646284;;1,646284;1,646284;0;;-0,007334;0,007334;0,014668
268;1,646284;;1,646284;1,653618;0,007334;;0,000143;0,007191;0,007048
269;1,653618;;1,653618;1,660809;0,007191;;0,007191;0;-0,007191
270;1,660809;;1,660809;1,660809;0;;0;0;0
271;1,660809;;1,660809;1,660809;0;;0;0;0
272;1,660809;;1,660809;1,660809;0;;0;0;0
273;1,660809;;1,660809;1,660809;0;;0;0;0
274;1,660809;;1,660809;1,660809;0;;0;0;0
275;1,660809;;1,660809;1,660809;0;;-0,00154;0,00154;0,00308
276;1,660809;;1,660809;1,662349;0,00154;;0,00154;0;-0,00154
277;1,662349;;1,662349;1,662349;0;;-0,006684;0,006684;0,013368
278;1,662349;;1,662349;1,669033;0,006684;;0,006179;0,000505;-0,005674
279;1,669033;;1,669033;1,669538;0,000505;;-0,002073;0,002578;0,004651
280;1,669538;;1,669538;1,672116;0,002578;;0,002578;0;-0,002578
281;1,672116;;1,672116;1,672116;0;;0;0;0
282;1,672116;;1,672116;1,672116;0;;-0,012657;0,012657;0,025314
283;1,672116;;1,672116;1,684773;0,012657;;0,012657;0;-0,012657
284;1,684773;;1,684773;1,684773;0;;-0,000438;0,000438;0,000876
285;1,684773;;1,684773;1,685211;0,000438;;-0,002309;0,002747;0,005056
286;1,685211;;1,685211;1,687958;0,002747;;-0,001358;0,004105;0,005463
287;1,687958;;1,687958;1,692063;0,004105;;0,000287;0,003818;0,003531
288;1,692063;;1,692063;1,695881;0,003818;;-0,005115;0,008933;0,014048
289;1,695881;;1,695881;1,704814;0,008933;;0,008933;0;-0,008933
290;1,704814;;1,704814;1,704814;0;;-0,004893;0,004893;0,009786
291;1,704814;;1,704814;1,709707;0,004893;;-0,001158;0,006051;0,007209
292;1,709707;;1,709707;1,715758;0,006051;;0,004511;0,00154;-0,002971
293;1,715758;;1,715758;1,717298;0,00154;;-0,005381;0,006921;0,012302
294;1,717298;;1,717298;1,724219;0,006921;;0,006921;0;-0,006921
295;1,724219;;1,724219;1,724219;0;;0;0;0
296;1,724219;;1,724219;1,724219;0;;-0,000396;0,000396;0,000792
297;1,724219;;1,724219;1,724615;0,000396;;-0,007261;0,007657;0,014918
298;1,724615;;1,724615;1,732272;0,007657;;0,007287;0,00037;-0,006917
299;1,732272;;1,732272;1,732642;0,00037;;-0,007935;0,008305;0,01624
300;1,732642;;1,732642;1,740947;0,008305;;0,001353;0,006952;0,005599
301;1,740947;;1,740947;1,747899;0,006952;;0,006542;0,00041;-0,006132
302;1,747899;;1,747899;1,748309;0,00041;;-0,012249;0,012659;0,024908
303;1,748309;;1,748309;1,760968;0,012659;;0,012659;0;-0,012659
304;1,760968;;1,760968;1,760968;0;;-0,001153;0,001153;0,002306
305;1,760968;;1,760968;1,762121;0,001153;;-0,00114;0,002293;0,003433
306;1,762121;;1,762121;1,764414;0,002293;;-0,000272;0,002565;0,002837
307;1,764414;;1,764414;1,766979;0,002565;;0,002565;0;-0,002565
308;1,766979;;1,766979;1,766979;0;;0;0;0
309;1,766979;;1,766979;1,766979;0;;-0,010042;0,010042;0,020084
310;1,766979;;1,766979;1,777021;0,010042;;0,010042;0;-0,010042
311;1,777021;;1,777021;1,777021;0;;0;0;0
312;1,777021;;1,777021;1,777021;0;;0;0;0
313;1,777021;;1,777021;1,777021;0;;-0,00037;0,00037;0,00074
314;1,777021;;1,777021;1,777391;0,00037;;-0,005914;0,006284;0,012198
315;1,777391;;1,777391;1,783675;0,006284;;0,006284;0;-0,006284
316;1,783675;;1,783675;1,783675;0;;-0,000608;0,000608;0,001216
317;1,783675;;1,783675;1,784283;0,000608;;-0,012168;0,012776;0,024944
318;1,784283;;1,784283;1,797059;0,012776;;0,012776;0;-0,012776
